Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
70,VDD_L0_PAD,S,I,0.69,-0.2255,0.044,0.075
74,VDD_L1_PAD,S,I,0.61,-0.2255,0.044,0.075
78,VDD_L2_PAD,S,I,0.53,-0.2255,0.044,0.075
82,VDD_L3_PAD,S,I,0.45,-0.2255,0.044,0.075
86,VDD_L4_PAD,S,I,0.37,-0.2255,0.044,0.075
90,VDD_L5_PAD,S,I,0.29,-0.2255,0.044,0.075
94,VDD_L6_PAD,S,I,0.21,-0.2255,0.044,0.075
98,VDD_L7_PAD,S,I,0.13,-0.2255,0.044,0.075
102,VDD_L8_PAD,S,I,0.05,-0.2255,0.044,0.075
106,VDD_L9_PAD,S,I,-0.03,-0.2255,0.044,0.075
110,VDD_L10_PAD,S,I,-0.11,-0.2255,0.044,0.075
114,VDD_L11_PAD,S,I,-0.19,-0.2255,0.044,0.075
118,VDD_L12_PAD,S,I,-0.27,-0.2255,0.044,0.075
122,VDD_L13_PAD,S,I,-0.35,-0.2255,0.044,0.075
126,VDD_L14_PAD,S,I,-0.43,-0.2255,0.044,0.075
130,VDD_L15_PAD,S,I,-0.51,-0.2255,0.044,0.075
134,VDD_L16_PAD,S,I,-0.59,-0.2255,0.044,0.075
177,pad_DISABLE_i_PAD,S,I,-0.67,-0.2255,0.044,0.075
205,pad_LINK_0_o_PAD,N,I,-0.67,0.225,0.044,0.075
209,pad_LINK_1_o_PAD,N,I,-0.59,0.225,0.044,0.075
213,pad_LINK_clk_o_PAD,N,I,-0.51,0.225,0.044,0.075
215,pad_LINK_tkn_i_PAD,N,I,-0.43,0.225,0.044,0.075
219,pad_LINK_v_o_PAD,N,I,-0.35,0.225,0.044,0.075
221,pad_LINK_2_o_PAD,N,I,-0.27,0.225,0.044,0.075
225,pad_LINK_3_o_PAD,N,I,-0.19,0.225,0.044,0.075
233,pad_MON_clk_o_PAD,N,I,-0.11,0.225,0.044,0.075
235,pad_EXT_clk_i_PAD,N,I,-0.03,0.225,0.044,0.075
237,pad_TAG_clk_i_PAD,N,I,0.05,0.225,0.044,0.075
241,pad_TAG_data_i_PAD,N,I,0.13,0.225,0.044,0.075
247,pad_LINK_3_i_PAD,N,I,0.21,0.225,0.044,0.075
251,pad_LINK_2_i_PAD,N,I,0.29,0.225,0.044,0.075
253,pad_LINK_v_i_PAD,N,I,0.37,0.225,0.044,0.075
257,pad_LINK_clk_i_PAD,N,I,0.45,0.225,0.044,0.075
259,pad_LINK_tkn_o_PAD,N,I,0.53,0.225,0.044,0.075
263,pad_LINK_1_i_PAD,N,I,0.61,0.225,0.044,0.075
267,pad_LINK_0_i_PAD,N,I,0.69,0.225,0.044,0.075
