Subs#,Net Name,Side,Subs X,Subs Y
1,VSS,W,-3.4,2.86
2,V33,W,-4.83949,4.12536
3,VSS,W,-3.4,2.65
4,VDD,W,-4.14729,3.36731
5,VSS,W,-3.4,2.41207
6,V33,W,-4.93432,3.68087
7,sdi_A_sclk_ex_i,W,-5.36901,4.55025
8,VSS,W,-3.4,2.28049
9,sdi_A_tkn_ex_o,W,-5.44378,4.29859
10,VDD,W,-4.25062,2.83593
11,sdi_A_data_7_i,W,-5.51428,4.04567
12,VSS,W,-3.4,1.97
13,sdi_A_data_6_i,W,-5.58048,3.79156
14,VDD,W,-4.31207,2.46424
15,sdi_A_data_5_i,W,-5.64236,3.53634
16,VSS,W,-3.4,1.67
17,sdi_A_data_4_i,W,-5.69992,3.28007
18,VDD,W,-4.36488,2.09117
19,sdi_A_data_3_i,W,-5.75312,3.02282
20,VSS,W,-3.4,1.4
21,misc_L_0_i,W,-5.80197,2.76468
22,V33,W,-5.15763,2.30365
23,sdi_A_token_o,W,-5.84645,2.5057
24,VSS,W,-3.4,1.24
25,misc_L_1_i,W,-5.88654,2.24596
26,VDD,W,-4.42957,1.51128
27,sdi_A_sclk_i,W,-5.92224,1.98553
28,VSS,W,-3.4,0.95
29,misc_L_2_i,W,-5.95354,1.72448
30,VDD,W,-4.45962,1.14492
31,sdi_A_ncmd_i,W,-5.98043,1.46288
32,VSS,W,-3.4,0.67
33,sdi_A_data_2_i,W,-6.00291,1.2008
34,VDD,W,-4.4827,0.74966
35,sdi_A_data_1_i,W,-6.02095,0.93829
36,VSS,W,-3.4,0.4
37,sdi_A_data_0_i,W,-6.03457,0.67545
38,V33,W,-5.29411,0.46935
39,misc_L_3_i,W,-6.04375,0.41232
40,VSS,W,-3.4,0.13
41,clk_0_p_i,W,-6.04849,0.14898
42,VDD,W,-4.5,0
43,clk_0_n_i,W,-6.04878,-0.1145
44,VSS,W,-3.4,-0.13
45,misc_L_4_i,W,-6.04461,-0.37806
46,VDD,W,-4.49558,-0.37896
47,sdi_B_data_0_i,W,-6.03599,-0.64163
48,VSS,W,-3.4,-0.41
49,sdi_B_data_1_i,W,-6.0229,-0.90514
50,VDD,W,-4.48309,-0.74105
51,sdi_B_data_2_i,W,-6.00535,-1.16853
52,VSS,W,-3.4,-0.67
53,sdi_B_data_3_i,W,-5.98332,-1.43171
54,VDD,W,-4.46069,-1.1296
55,sdi_B_ncmd_i,W,-5.95682,-1.69463
56,VSS,W,-3.4,-0.95
57,misc_L_5_i,W,-5.92583,-1.95721
58,V33,W,-5.21268,-1.80541
59,sdi_B_token_o,W,-5.89037,-2.21939
60,VSS,W,-3.4,-1.11
61,misc_L_6_i,W,-5.85042,-2.48108
62,VDD,W,-4.41287,-1.68054
63,sdi_B_sclk_i,W,-5.80598,-2.74221
64,VSS,W,-3.4,-1.37
65,misc_L_7_i,W,-5.75707,-3.00272
66,VDD,W,-4.36817,-2.06567
67,sdi_B_data_4_i,W,-5.70367,-3.26252
68,VSS,W,-3.4,-1.67
69,sdi_B_data_5_i,W,-5.64579,-3.52154
70,VDD,W,-4.31219,-2.46346
71,sdi_B_data_6_i,W,-5.58344,-3.77971
72,VSS,W,-3.4,-1.99
73,sdi_B_data_7_i,W,-5.51662,-4.03694
74,V33,W,-4.98432,-3.42231
75,sdi_B_tkn_ex_o,W,-5.44534,-4.29315
76,VSS,W,-3.4,-2.28
77,sdi_B_sclk_ex_i,W,-5.36961,-4.54828
78,VDD,W,-4.21588,-3.02543
79,VSS,W,-3.4,-2.46
80,VDD,W,-4.14495,-3.3783
81,VSS,W,-3.4,-2.71
82,V33,W,-4.83166,-4.15985
83,VSS,W,-3.4,-2.88
84,V33,S,-4.6482,-4.76349
85,VSS,S,-2.96,-3.4
86,VDD,S,-3.5582,-4.10565
87,VSS,S,-2.72,-3.4
88,V33,S,-4.12694,-4.83913
89,VSS,S,-2.42,-3.4
90,sdo_C_tkn_ex_i,S,-4.81221,-5.28643
91,VDD,S,-3.00558,-4.21963
92,sdo_C_sclk_ex_o,S,-4.55749,-5.36703
93,VSS,S,-2.23,-3.4
94,sdo_C_data_8_o,S,-4.30141,-5.44321
95,V33,S,-3.44561,-4.97996
96,sdo_C_data_7_o,S,-4.04405,-5.51496
97,VSS,S,-1.92,-3.4
98,sdo_C_data_6_o,S,-3.78547,-5.58224
99,VDD,S,-2.43553,-4.31645
100,sdo_C_data_5_o,S,-3.52576,-5.64505
101,VSS,S,-1.62,-3.4
102,sdo_C_data_4_o,S,-3.265,-5.70337
103,V33,S,-2.49047,-5.13349
104,sdo_C_data_3_o,S,-3.00326,-5.75719
105,VSS,S,-1.32,-3.4
106,sdo_C_data_2_o,S,-2.74062,-5.80648
107,VDD,S,-1.64879,-4.41614
108,sdo_C_data_1_o,S,-2.47716,-5.85125
109,VSS,S,-1.07,-3.4
110,sdo_C_data_0_o,S,-2.20326,-5.89285
111,V33,S,-1.56123,-5.23474
112,sdo_C_ncmd_o,S,-1.93795,-5.92841
113,VSS,S,-0.78,-3.4
114,sdo_C_token_i,S,-1.67212,-5.9594
115,VDD,S,-1.08293,-4.46388
116,JTAG_TMS_i,S,-1.40583,-5.9858
117,VSS,S,-0.62,-3.4
118,sdo_C_sclk_i,S,-1.13916,-6.00762
119,VDD,S,-0.74288,-4.48301
120,JTAG_TDI_i,S,-0.87219,-6.02486
121,VSS,S,-0.33,-3.4
122,PLL_VDD_i,S,-0.49311,-4.49252
123,V33,S,-0.51145,-5.29301
124,PLL_VSS_i,S,-0.24859,-4.4981
125,VSS,S,-0.09,-3.4
